film,data_premiery,cena_biletu
Inception,2019-07-16,32
The Matrix,2020-03-31,28
Interstellar,2021-11-07,35
The Dark Knight,2022-07-18,34
Pulp Fiction,2023-10-14,27
Fight Club,2024-02-21,26
Forrest Gump,2020-06-23,25
The Shawshank Redemption,2021-09-22,29
Gladiator,2022-05-05,31
Avatar,2023-12-16,38
Titanic,2020-02-14,30
The Godfather,2021-03-24,33
The Social Network,2022-10-01,26
Whiplash,2024-01-10,28
Parasite,2023-02-07,29
Joker,2022-10-04,32
Mad Max: Fury Road,2021-05-15,31
La La Land,2020-12-09,27
Dune,2024-10-20,39
Spider-Man: No Way Home,2022-12-17,36
